count,temperature,values
10,0.5,"[0.4025974025974026, 0.45161290322580644, 0.4675324675324675, 0.2222222222222222]"
10,0.5,"[0.1038961038961039, 0.625, 0.1038961038961039, 0.625]"
10,0.5,"[0.06493506493506493, 0.8, 0.06493506493506493, 0.8]"
10,0.5,"[0.2727272727272727, 0.5238095238095238, 0.36363636363636365, 0.21428571428571427]"
10,0.5,"[0.4025974025974026, 0.5806451612903226, 0.45454545454545453, 0.4857142857142857]"
10,0.5,"[0.15584415584415584, 0.4166666666666667, 0.09090909090909091, 0.7142857142857143]"
10,0.5,"[0.36363636363636365, 0.39285714285714285, 0.5454545454545454, 0.2619047619047619]"
10,0.5,"[0.38961038961038963, 0.5, 0.6363636363636364, 0.30612244897959184]"
4,1.5,"[0.03896103896103896, 1.0, 0.05194805194805195, 0.5]"
4,1.5,"[0.36363636363636365, 0.32142857142857145, 0.5194805194805194, 0.15]"
4,1.5,"[0.33766233766233766, 0.34615384615384615, 0.4675324675324675, 0.25]"
4,1.5,"[0.37662337662337664, 0.3448275862068966, 0.6233766233766234, 0.1875]"
4,1.5,"[0.2077922077922078, 0.25, 0.1038961038961039, 0.375]"
4,1.5,"[0.35064935064935066, 0.48148148148148145, 0.38961038961038963, 0.3333333333333333]"
4,1.5,"[0.09090909090909091, 0.7142857142857143, 0.06493506493506493, 0.8]"
4,1.5,"[0.33766233766233766, 0.4230769230769231, 0.5324675324675324, 0.2926829268292683]"
4,1.5,"[0.11688311688311688, 0.2222222222222222, 0.03896103896103896, 1.0]"
4,1.5,"[0.1038961038961039, 0.25, 0.07792207792207792, 0.8333333333333334]"
3,1.0,"[0.3116883116883117, 0.2916666666666667, 0.42857142857142855, 0.18181818181818182]"
3,1.0,"[0.23376623376623376, 0.4444444444444444, 0.33766233766233766, 0.3076923076923077]"
3,1.0,"[0.23376623376623376, 0.3333333333333333, 0.2597402597402597, 0.25]"
3,1.0,"[0.12987012987012986, 0.2, 0.05194805194805195, 1.0]"
3,1.0,"[0.05194805194805195, 0.5, 0.05194805194805195, 0.75]"
3,1.0,"[0.1038961038961039, 0.625, 0.06493506493506493, 1.0]"
3,1.0,"[0.2727272727272727, 0.47619047619047616, 0.35064935064935066, 0.2962962962962963]"
3,1.0,"[0.05194805194805195, 0.75, 0.05194805194805195, 0.75]"
3,1.0,"[0.09090909090909091, 0.5714285714285714, 0.1038961038961039, 0.375]"
3,1.0,"[0.3246753246753247, 0.6, 0.42857142857142855, 0.30303030303030304]"
5,1.5,"[0.33766233766233766, 0.38461538461538464, 0.7012987012987013, 0.24074074074074073]"
5,1.5,"[0.2727272727272727, 0.38095238095238093, 0.4155844155844156, 0.25]"
